"project_id","url","title","category","status","region","goal_sum","collected_sum","collected_pct","backers_count","nmb_video","nmb_image","nmb_reward","min_reward","max_reward","nmb_word","nmb_sentence","short_desc","full_text","author_name","author_projects","author_backers","date_start","date_end","updates_count","comments_count","parsed_date","target"
"legenda_o_korole_lire","https://planeta.ru/campaigns/legenda_o_korole_lire","Гастроли спектакля «Легенда о короле Лире...»","Театр","failed","Yerevan","300000.0","10200.0","3.0","13","0","3","6","400.0","5000.0","439","41","Участие спектакля «Легенда о короле Лире и его дочерях…» (режиссёр Гоша Мнацаканов) в международном Шекспировском фестивале в Ереване.","Вас приветствует команда студентов Высшей школы сценических искусств (Мастерская А. А. Коручекова). Наш спектакль «Легенда о короле Лире и его дочерях…» пригласили на «Yerevan Shakespeare International Theater Festival» в Ереван, который состоится 17-22 октября 2022 года. Это будут наши первые международные гастроли, и чтобы они состоялись, нам нужно купить авиабилеты и оплатить гостиницу для наших артистов. Мы обратились к planeta.ru, чтобы собрать недостающую сумму с помощью наших зрителей и других неравнодушных к театру людей! Участие в «Yerevan Shakespeare International Theater Festival» для нас честь, но главное — возможность познакомиться с театрами и коллективами из разных стран, которые ежегодно собираются в Армении, чтобы показать спектакли по Шекспиру. «Ребята очень замечательные и никогда еще не были на настоящих гастролях! Мне кажется, что важно было бы предоставить им такую возможность. Проявить себя достойно в своем ремесле, фестиваль в каком-то смысле тоже испытание. Сложное, но необходимое.», — Гоша Мнацаканов, режиссер. Мы будем рады любой вашей поддержке! Можно просто сделать благотворительный взнос, либо выбрать один из лотов-сувениров, которые мы приготовили, чтобы у вас осталась память о нашем с вами сотрудничестве. О фестивале: Ереванский Международный Шекспировский фестиваль проводится в г. Ереване с 2003 года при содействии Министерства культуры Армении, Мэрии г. Еревана и Союза театральных деятелей Армении. Ориентированный на расширение и укрепление международных культурных связей и исследование классической драматургии. Фестиваль за годы своего существования принимал на театральных площадках Еревана коллективы России, Грузии, Украины, Италии, Швейцарии, Франции и других стран. Участниками и почетными гостями Фестиваля были выдающиеся театральные деятели со всего мира, в том числе Александр Калягин, Роберт Стуруа, Анджей Журовски, Деклан Донеллан, Питер Брук. О режиссере: Гоша Мнацаканов, выпускник режиссерского факультета ГИТИСа (Мастерская С. В. Женовача). В 2021 году поставил в Школе драматического искусства спектакль «Собака с дамочкой» по Чехову, в 2022 «Елизавету Бам» в Сатириконе. С курсом А. А. Коручекова сотрудничает уже два года, этой зимой выпустил «Легенду о короле Лире и его дочерях…» в Учебном театре Высшей школы сценических искусств. «Замечательный спектакль. Тонкий при всей шумности, простой при всей сложности, печальный и смешной. И переполненный любовью. Очень мне понравилось и тронуло.», — А. В. Бартошевич, доктор искусствоведения, историк театра, шекспировед. «Спектакль Гоши Мнацаканова — это такое очень талантливое и веселое хулиганство на тему знаменитой, великой шекспировской трагедии, известной, всем театральным людям. Это очень свободно, весело, остроумно, талантливо, отвязно и в результате — круто. Мне кажется, это способно увлечь любого настоящего, театрального, живого зрителя, того, кто способнен воспринимать вещи неожиданные и нестереотипные. Таким зрителям, живым и готовым воспринять что-то очень непривычное для их собственных устоявшихся вкусов, таким, кто способен воспринимать новое и конфликто-веселое, тем я очень рекомендую этот спектакль.», — Константин Райкин, Народный артист России, художественный руководитель театра «Сатирикон» и Высшей школы сценических искусств.","Анастасия Ермолова","1","0","08.07.2022","01.10.2022","0","0","2026-05-10","0"
"misty_club","https://planeta.ru/campaigns/misty_club","Создаём молодёжный джазовый оркестр","Общественные инициативы","failed","Новосибирская обл.","190000.0","18941.0","9.0","27","0","7","8","430.0","10000.0","359","30","Мы создаём молодёжный оркестр на базе Новосибирского Дома джаза. Нам нужен микшерный пульт и деньги на аренду помещения для репетиций оркестра.","Кто мы Всем привет! Мы коллектив Новосибирского Дома джаза, который появился во многом благодаря вашей поддержке. В прошлом году мы успешно собрали деньги для создания нашего музыкального арт-пространства. В марте этого года мы официально открыли Дом джаза на Фабричной, 8. У нас есть музей джаза, репетиционная студия, учебный класс и концертный зал на 40 человек. Концертный зал Новосибирского Дома джаза Что мы хотим сделать в этот раз Мы организуем новый проект — молодёжный джазовый оркестр на базе Дома джаза. В составе коллектива будет 16 музыкантов, инструменталистов и вокалистов. Мы отберём их из учеников детских музыкальных школ и творческих центров, а также из числа студентов музыкального колледжа им. А.Ф. Мурова. Репетировать оркестр будет в Доме джаза под руководством профессиональных музыкантов и педагогов. А в начале следующего года коллектив отправится в тур по городам Сибири: Барнаул, Кемерово, Куйбышев, Томск. Ещё мы планируем, что молодые музыканты будут участвовать в общероссийских и международных конкурсах и фестивалях. Мастер-класс для юных музыкантов от Владимира Толкачева, руководителя «Биг-Бэнда» Новосибирской филармонии Сольный концерт студентов в Доме джаза В начале этого года уже прошёл отборочный тур в формате регионального музыкального конкурса под названием «Jazz на Оби». Лауреаты конкурса — это потенциальные участники будущего оркестра. Организаторы и участники конкурса «Jazz на Оби» на сцене концертного зала «Сибирский» Новосибирского музыкального колледжа им. А.Ф. Мурова В чём ценность проекта В Западно-Сибирском регионе мало профессиональных молодёжных джазовых коллективов. Эту сферу нужно развивать, что помогать молодым талантливым ребятам. Среди наших активных единомышленников известные музыканты и педагоги: Владимир Толкачев, Наталья Соболева, Евгений Серебренников, Алексей Подымкин, Олег Петриков, Игорь Дмитриев, Евгений Суворов. Проект поддержали такие известные российские музыканты как Игорь Бутман и Лариса Долина, Даниил Крамер и Сергей Кокорин. Участие в проекте таких знаковых фигур российского джаза позволит детско-юношескому оркестру достигнуть уровня лучших российских и международных молодёжных коллективов. Московские и новосибирские мастера жанра на сцене Новосибирского Дома джаза На что пойдут деньги - На оплату аренды помещения Дома джаза. Именно здесь будут репетировать музыканты. - На покупку микшерного пульта для коммутации микрофонов. - На налоги и комиссию крауд-платформы. Репетиция молодых музыкантов в Доме джаза Цель нашего проекта — не коммерческий результат, а вовлечённость детей в занятия музыкой, поиск молодых талантов. Группа поддержки проекта","Новосибирский Дом джаза","3","82","08.06.2022","05.09.2022","2","0","2026-05-10","0"
"arhteatrpanova","https://planeta.ru/campaigns/arhteatrpanova","Выставка по истории Молодёжного театра","Театр","failed","Архангельская обл.","300000.0","45060.0","15.0","77","0","2","14","50.0","200000.0","368","41","Выставка-лабиринт, где сочетаются специально созданные объекты современного искусства и преобразованные архивные документы Архангельского молодёжного театра","Привет! Мы — команда неравнодушных из Архангельского Молодёжного театра. Сейчас наша главная цель — сохранить и рассказать историю театра. Сделать это можно по-разному. Можно снять документальный фильм. Или издать книгу. Кстати, всё это мы уже делаем. Но, кажется, всё это звучит не очень молодёжно. Рассказать историю родного театра нужно «в стиле театра Панова». Например, в виде выставки-лабиринта. Она развернётся в трёх залах историко-архитектурного комплекса «Гостиные дворы», который уже поддержал нас на безвозмездной основе. (За что ему огромное спасибо!). Основой экспозиции станут преобразованные архивные материалы театра и пять новых объектов современного искусства. Через опен-колл заявок мы выберем пять художников из разных уголков страны, которые выразят собственный взгляд на историю театра в разных художественных техниках. Ещё раз отметим, что выставка — только одна из мер целого комплекса. Летом 2022 года мы сняли документальный фильм, а в апреле планируется выпуск книги о театре. — Ради чего всё это? Мы гордимся своей историей и хотим рассказать её жителям региона. Мы хотим видеть больше молодых людей в театре и музее, а для этого нужно говорить с молодёжью на одном языке. В конце концов, хотим больше красоты в родном городе. История Молодёжного театра увлекательная и нетипичная. И форма подачи материала тоже не может быть скучной и «душной». Поэтому – лабиринт. Поэтому – современное искусство. — На что нужны средства? 1. Для проработки концепции лабиринта нам необходим архитектор выставки, который организует пространство музейного комплекса, составит оптимально понятный и приятный глазу маршрут для зрителя. 2. Для выбранных на конкурсной основе художников будет организована резиденция в Архангельске. За пять дней художники познакомятся с городом, театром и его историей. По возвращении в свои города художники примутся за создание экспонатов выставки, которые впоследствии нужно транспортировать в Архангельск. Работа художников также подразумевает гонорар. 3. Материалы. Материалов понадобится много, как для самой выставки, так и для новых объектов искусства. Таким образом: — Выставка будет проходить в Гостиных Дворах в Архангельске в период с мая по август; — В мае выставка будет бесплатной для зрителя, и мы организуем экскурсии для старших школьников; — Экспозиция будет состоять из пяти специально созданных объектов современного искусства и архивных материалов. Будем рады любой поддержке нашего проекта! Если вы хотите помочь, но не можете поддержать проект материально — расскажите о нём своим друзьям и знакомым. И обязательно приходите в мае, мы будем вас ждать!","Виктор Петрович Панов","1","0","15.10.2022","10.01.2023","0","0","2026-05-10","0"
"taiko","https://planeta.ru/campaigns/taiko","Барабанный спектакль — Ива под тяжестью снега","Театр","failed","Москва и Московская обл.","3000000.0","34457.0","1.0","28","0","17","14","400.0","500000.0","644","38","После шоу ""Море Синего Леса"", мы приготовили новую легенду. Она расскажет историю, которая произошла в Японии в снегах Канадзавы. Примите участие в создании нового спектакля.","Мина-сан, конничива ! Мы – TAIKO IN-SPIRATION - японское барабанное шоу из Москвы. Тайко – это традиционные японские барабаны. Ранее их использовали в синтоизме при поклонении богам, но в наше время искусство Тайко давно вышло за пределы храмовых стен. Теперь их можно услышать не только в народной музыке, но и неоклассике, а Тайко-коллективы все чаще появляются по всему миру. Наш коллектив возник в 2011 году и с тех пор под чутким руководством нашего сенсея из Японии, Takuya Taniguchi, мы продвигаем искусство тайко и японскую культуру в России. За это время из камерного коллектива мы превратились в полномасштабное театрализованное шоу. Теперь вместе с барабанами Тайко на нашей сцене звучат и другие традиционные японские инструменты. За плечами нашего коллектива множество разнообразных выступлений и проектов: открытия магазинов Юникло по всей России, участие в спортивных чемпионатах по японским боевым искусствам, съемки в музыкальных клипах. После всех наших проектов мы доросли до создания уникального, первого в мире, барабанного спектакля: “Море Синего Леса”. «Море Синего Леса» - это музыкальный спектакль, где история рассказывается барабанами тайко и другими музыкальными инструментами. В основе сюжета лежат японские легенды о лисах кицунэ и празднике полной луны. Ритмы барабанов перенесут в чащу непроходимого леса, где в иссиня черной темноте вас встретят очаровательные лисы кицунэ. Мелодии кото сольются с мощными ударами тайко, и тогда легенда лунной ночи Цукими Мацури раскроется в море синего леса, проливая свет на все его секреты. А ТЕПЕРЬ ПРИШЛО ВРЕМЯ РАССКАЗАТЬ О НОВОМ ПРОЕКТЕ! Вы когда-нибудь слышали о Сэцугэкка? До того момента, как мы начали работу над новым спектаклем, этот термин нам тоже не был знаком. Сэцугэкка - 雪月花, дословно с японского Снег, Луна и Цветы , - это три явления природы, достойные любования. Так получилось, что история нашего первого спектакля была тесно связана с полной луной, а сюжет второго сложился вокруг снега и зимы. Образ Юки-онны, главного антагониста шоу Это будет наша вторая сказка, о том, как Янаги спас замок Канадзава от Юки-онны! Долгие столетия каждую зиму буря спускалась с горы Хокусан и уносила множество жизней, но наш храбрый герой Янаги встретился лицом к лицу со страшным екаем и сумел навсегда избавить Канадзаву от снежной напасти и подарить самый красивый снег в Японии… Образ горных демонов, Намахагэ , в образе демонов и людей О чем же на самом деле будет эта история? Главная идея - ИНЬ И ЯН. Нет ничего абсолютно черного, как нет ничего абсолютно белого. Мы привыкли, что в сказках должны быть и герои, и злодеи. Но настоящего добра и зла не существует, это лишь решения, имеющие разные последствия. Вы окажетесь во дворце в городе Канадзава, в одной из самых богатых провинций прошлых веков, чтобы прожить всю зиму вместе с нашими героями и окунуться в совершенно новый мир японских барабанов. Замок Канадзава, макет декораций к спектаклю, автор Медведева Ольга Это наше новое барабанное шоу. Подготовка к спектаклю вовсю кипит! Мы уже приготовили несколько масштабных сцен, разучиваем новые стили игры на японских барабанах тайко, занимаемся постановкой новых номеров и отрабатываем готовые идеи. В нашем додзё появились новые барабаны, специально для этого шоу, и идет примерка и притирка к новым костюмам. Маски Намахагэ и съемка нового номера из спектакль в новом стиле игры на утива-дайко Пять О-дайко, два из них приобретены для нового спектакля Номер из нового спектакля, премьера - Раскаты Грома в Измайлово, май 2022 года Новые нагадо-дайко и подставки для стиля хатиджо и ятай Номер из нового спектакля, премьера - Раскаты Грома в Измайлово, март 2022 года Номер из нового спектакля, исполняется на 6 кото, премьера - Раскаты Грома в Измайлово, март 2022 года Нам предстоит еще долгая и кропотливая работа. Мы будем благодарны каждому за участие в проекте. Давайте вместе воплотим идею спектакля в жизнь! Автор проекта: TAIKO IN-SPIRATION Инстаграм: https://instagram.com/taiko_inspiration Вконтакте: https://vk.com/taiko_inspiration Сайт: https://taiko.moscow Контакты для предложений других вознаграждений или сотрудничества (гримм, костюмы, декорации, хореография и другое) Руководитель коллектива: Андрей Бахтеров Телефон: +7 919 999 4858 Телеграм: @andreytaiko Почта: info@taiko.moscow","TAIKO IN-SPIRATION","1","0","01.09.2022","09.12.2022","0","0","2026-05-10","0"
"poets_zadver","https://planeta.ru/campaigns/poets_zadver","Творческое сообщество ""Поэты ЗАДВЕРЬю""","Театр","failed","Самарская обл.","104650.0","21951.0","20.0","14","0","5","8","150.0","70000.0","305","25","Мы создаем поэтические спектакли и перформансы о жизни известных поэтов. Раскрываем все тайны о Маяковском, Есенине и многих других. Средства пойдут на звуковое оборудование","Привет! Меня зовут Елена Черкесова и я являюсь создателем и организатором проекта ""Поэты ЗАДВЕРЬю"" . В моей команде 6 участников. Совместно с ними мы создаем поэтические перформансы и спектакли о жизни известных поэтов, раскрывая их секреты и инсайты. Цель проекта - повышение культурного социального уровня населения посредством популяризации современного искусства. Ссылки на наш проект в соц.сетях Телеграм ВКонтакте Инстаграм: @poets_zadver За год существования нашего проекта мы успели показать спектакли о жизни и женщинах В.Маяковского, раскрыли тайну гибели С.Есенина, поделились историей любви Б.Пастернака к М. Цветаевой, залезли в мысли И.Бродского и даже утроили лекцию-квартирник по его творчеству. ""Поэты ЗАДВЕРЬю"" - это симбиоз жанров. В наших спектаклях вы можете услышать и стихи, и биографию, и документальные факты из жизни поэтов, и кроме того, все эти действия дополнены песнями и даже танцами. Всё перечисленное - это не отдельные творческие номера, а полноценная постановка, связанная сценарием и одной концепцией. Уникальность наших постановок в том, что перед написанием сценария мы поднимаем архивы о поэте. Ищем малоизвестную или вовсе неизвестную информацию для зрителя об авторе. Тем самым, поэтический спектакль повышает уровень заинтересованности к поэзии и литературе в целом. Мы так мечтаем играть наши спектакли за пределами родного города и съездить на гастроли в Казань, Питер и другие города нашей необъятной страны. Мы не государственный театр и бюджет на реквизит, аренду микрофонов и прочие расходы, к сожалению, своими силами набрать не можем. Путем недолгих математических вычислений, мы поняли, что нам будет намного выгоднее приобрести свои собственные головные микрофоны. Собранную сумму мы потратим на приобретение головных радиосистем в количестве 6 штук. Тем самым, нам не придется тратить средства на аренду аппаратуры, а сэкономленные на этом деньги сможем пустить в рекламу, и проезд до городов России, а так же оплату техникам по свету и звуку. Надеемся, с вашей поддержкой мы сможем осуществить нашу мечту, и о жизни поэтов узнает чуть больше зрителей.","elletro2020","2","0","23.05.2022","06.12.2022","1","0","2026-05-10","0"
"tartanov","https://planeta.ru/campaigns/tartanov","Социальный альбом «Я вижу ослепительный мир»","Музыка","failed","Москва и Московская обл.","480000.0","100.0","1.0","1","0","2","7","300.0","100000.0","366","32","Привет, друзья! Меня зовут Виктор Тартанов, я слепой певец и радиоведущий, запускаю сбор средств на запись нового музыкального альбома","Я и моя команда работаем над первым социальным альбомом! Всю жизнь я занимаюсь творчеством - это моё призвание. Помогаю людям увидеть и услышать. Моя цель показать, что да, хоть я и слепой, но верю в лучшие человеческие качества, я верю в жизнь и никогда не сдаюсь, борясь с обстоятельствами. Нужно и важно говорить, что она прекрасна и удивительна, и всё в наших руках. Об этом одна из песен альбома «Я люблю жизнь», которая уже создана и готовится выйти в свет. Сегодня нашу команду уже поддержал замечательный человек и профессионал музыкального дела - Евгений Кобылянский, создатель лучших хитов Григория Лепса. https://kvu.su/mainnews/2517-prodjuser-grigorija-l... А также общественная организация «Развитие поколений», которая занимается социально-культурными проектами по всей России (в частности, развитием инклюзивного театра и благотворительными показами спектаклей в социальных учреждениях). И наш проект обрастает неравнодушными людьми ежедневно и ежечасно. Следите за новостями, друзья. Для полной реализации этой важной и социально-значимой задачи нам потребуются ресурсы, как материальные - на подготовку и запись песен, мастеринг, выпуск альбома на физических носителях, на продакшн, ротацию, съемки видеоклипов и продвижение, так и информационные, чтобы с нашим проектом могли познакомиться все, кому интересен качественный звук и слова. Проект будет иметь несколько этапов реализации и сейчас мы в начале этого пути, который планируем завершить к марту 2023 года, ознаменовав результат презентацией и живым общением с аудиторией слушателей и почитателей. Мы планируем создание 13 композиций , отражающих художественное зеркало действительности и открываем Первый сбор на запись песен и мастеринг альбома (работа с музыкальным материалом). Альбом будет реализован в любом случае, если будет собрана сумма, превышающая требуемую, она пойдет на реализацию следующих этапов проекта и на поддержку талантливых идей людей с инклюзивными особенностями здоровья. Одна из таких идей принадлежит прекрасной девушке - Валерия Васина - автор и исполнитель песен, а также ведущая подкаст-проекта «Креативити». (https://vk.com/valeriyavasina ). Большое вам всем спасибо за поддержку и участие. Уверен, новый альбом будет просто открытием! Жизнь удивительна и прекрасна! Для связи: Ольга - orumyanceva@live.ru https://tartanov.fun https://vk.com/id714763289 https://www.youtube.com/channel/UC_lgB5rhBsRRVZVXvbBtKIQ/featured Нет ничего невозможного. Ни для тебя, ни для меня, вообще ни для кого. Трудно многое, да что там, почти все в жизни трудно. Но ""невозможно"" — это бессмысленное слово. Макс Фрай","Я вижу ослепительный мир","1","0","07.10.2022","05.12.2022","0","0","2026-05-10","0"
"aetherstonerband","https://planeta.ru/campaigns/aetherstonerband","AETHER STONER BAND","Музыка","failed","Калужская обл.","100000.0","700.0","1.0","3","0","1","3","100.0","800.0","503","32","Томно. Вязко. Дымно.

Съемка клипа для дебютного проекта в жанре Stoner/Sludge Doom от one-man band проекта из спичечной столицы России - города Балабаново.","Всем привет! Меня зовут Егор, я музыкант из Калужской области. В данный период своего творческого пути работаю в жанре stoner/sludge doom metal, но мне не чужды и другие жанры тяжёлой музыки. На моём счету уже есть один проект, ""Обои со вкусом плесени"" - сборная солянка из каверов на известных исполнителей, мои собственные композиции, которые скорее можно описать как ""русский андерграунд"" во всех его проявлениях. На данном этапе я завершил работу над вторым, полноценным альбомом под названием Aether (с англ. эфир ). И появилась идея снять клип на одну из композиций с него Скажу честно, на данный момент нет чёткой определенности, какой конкретно трек ляжет в основу будущего видеоролика. Вполне вероятно, что вы поможете мне определиться с этим в будущем, тем более, что концепт уже имеется. Расскажу немного и о самом проекте. Томно. Вязко. Дымно. Три слова, описывающие дебютный проект в жанре Stoner/Sludge Doom от DIY OneManBand проекта из спичечной столицы России - города Балабаново Калужской области. Примеры различных коллективов, в том числе группы Nightwolf из соседствующего города, Обнинска, что является колыбелью мирного атома, а также творчество Electric Wizard, Black Sabbath, Saint Vitus и многих других исполнителей послужили толчком к возникновению в 2016 году концепта Aether, перенявшего дух праотцов с его желанием сотрясать низкими, дымными частотами умы аудитории. https://vk.com/aetherstonerband - пока сайт находится в разработке, следить за актуальными новостями проекта можно как здесь, на planeta.ru , так и в сообществе в ВК. Когда-то я начинал с каверов Творил, несмотря на слабое техническое оснащение, будучи вдохновленным прекрасной музыкой, сильными литературными произведениями, своими соотечественниками и коллегами по цеху. Шесть лет мне потребовалось для того, чтобы записать альбом в том виде, в котором сейчас я готов поделиться им со слушателем. За это время многие вещи успели в корне поменяться, многое успело как обрести смысл, так и потерять, произошло огромное количество перемен, благодаря которым я тот, кто я есть, а моя музыка - вот такая вот, какой вы её слышите. Зачем нужны средства 13 мая 2022 года состоялся релиз всего, чем я жил и дышал в последние годы. Но я осознаю, что в текущих реалиях цифрового века музыка, она не только про слух, люди хотят также видеть то, что слушают. Поэтому появилась идея снять клип на одну из композиций с альбома, прослушать который можно на Саундклауде проекта: https://soundcloud.com/aether-promohell/sets/aethe... Понимаю, что для качественной съёмки понадобится помощь квалифицированных специалистов. У меня нет продюсера или лейбла, который бы меня представлял, на данный момент помощью с проектом занимаются на чистом энтузиазме люди, которым действительно (и совершенно неожиданно) понравилось то, что я делаю. Но наших ресурсов не хватит на то, чтобы создать контент по тем критериям строгости, которые обычно я применяю сам к себе. Съемки мы планируем проводить ближе к концу лета, поэтому приблизительная дата окончания проекта - 26 августа 2022 года. Но, если нужную сумму удастся собрать раньше, то нам нет смысла тянуть, - приступим к работе как можно скорее. На данном этапе уже присматриваемся к тем, кто мог бы помочь с технической частью процесса. Хочется верить, что клип послужит отличным проводником между мной и слушателем-единомышленником.","AETHER STONER BAND","1","0","23.05.2022","02.12.2022","0","0","2026-05-10","0"
"178895","https://planeta.ru/campaigns/178895","Добрый трактор-кормилец и помощник!","Социальное предпринимательство","failed","Нижегородская (Горьковская)","250000.0","1061.0","1.0","7","0","8","3","1000.0","5000.0","489","24","Всем доброго времени суток!😌Проект о том как девушка мечтает о покупке очень нужного для хозяйства трактора!Трактор - наши корма, наша дорога зимой, наш уборщик территории!","Всем здравствуйте .😉 Начну рассказывать о себе с начала. Меня зовут Алина и мне 32 года, проживаю в деревне, в нескольких километрах от города. Всю свою жизнь я пытаюсь развивать свою небольшую ферму, где радостно принимаю гостей, рассказываю им о животных, катаю их на своих любимых лошадях, устраиваю замечательные фотосессии для детей и взрослых вместе со своим знакомым фотографом. Пытаюсь я улучшить содержание животных, свой маленький деревенский дворик привести в порядок. Все постройки у меня старые, хозяйством я занимаюсь одна, но иногда помогают друзья. Среди платных услуг я выделяю благотворительные дни для разных центров детей с ограничеными возможностями и малообеспеченных семей, ведь для меня эти события важные и радостные. А все оставшееся время я хочу наладить свое любимое дело, наладить свой маленький фермерский конный дворик. Среди огромных конюшен и шикарных условий мне дается это с трудом. Но знаете, я не хочу сдаваться и буду двигаться дальше. И вот как то вечером, посидев в одиночестве, я стала пересматривать, почему моей прибыли мало для того, чтобы раскручиваться дальше, почему у меня такие большие затраты, оказывается, все что я вкладываю в свое дело, большую часть я оплачиваю корма, сено, доставку травы, стройматериалов, вывоз мусора, расчистку дороги, так как зимой к нам не проедут наши корма. Также у меня с трудом получилось выкупить участок земли, который готовится для высаживания трав, картошки и прочего, но поверьте мне, чтобы вспахать 200 соток земли нужно отдать немалые деньги, а разработать брошенную дикую землю нужно не один раз, почему бы мне самой этим не заниматься? Прокатившись у знакомого тракториста на тракторе, я поняла, что я вполне сама смогу все это делать, ведь строю я тоже все сама, пилой умею работать, гвозди вбивать тоже, но и это у меня получится! Скоро у меня день рождения, 25 ноября, и на 33 года это был бы отличный подарок, помощник и кормилец, ведь он сможет косить нам траву, пахать, чистить, расчищать дорогу в деревне, так как порой даже бабушки сидят без хлеба в деревне, магазин не может проехать. Я уже узнала об обучении на трактор. Думаю, это то, что очень сильно поможет мне развить мой сельский туризм и сельское хозяйство, я смогу больше вкладываться в улучшение моего дела. Да и гостям я смогу рассказать о тракторе и как он сильно помогает, а детям будет интересно просто посидеть в нем. Почему я поставила цель проекта 250 000, потому что по ценам,хороший трактор стоит намного больше, но мне хватит и старого образца или мини трактора. Если же проект наберет меньше, я смогу купить хотя бы газель, чтобы самой возить траву, корма, опилки, стройматериалы, мусор, ведь доставка стоит дороже, чем сам груз. Мои жигули начинают разваливаться, в них мало вмещается и проехать не везде можно, уже давно пора делать ремонт.😔 Но пока я не могу себе это позволить, в стране такая страшная ситуация, что мой дворик сейчас просто еле держится, прибыли едва хватает нам прокормиться. Я очень надеюсь, что этот проект станет радостным событием для меня, несмотря ни на что! Крепкого Вам здоровья, друзья!","АлинКа","36","135","28.10.2022","25.11.2022","0","0","2026-05-10","0"
